,name,discount_price,original_price,exchange_upto,rating,review_count
0,"Infinix HOT 12 Play (Champagne Gold, 64 GB)","₹8,199","₹11,999","Upto ₹7,640 Off on Exchange",4.3,"59,763 Ratings & 4,997 Reviews"
1,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,199","₹11,999",,4.3,"59,763 Ratings & 4,997 Reviews"
2,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,199","₹11,999","Upto ₹7,640 Off on Exchange",4.3,"59,763 Ratings & 4,997 Reviews"
3,IAIR D22,"₹1,120","₹1,120",Bank Offer,4.1,11 Ratings & 6 Reviews
4,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,199","₹11,999",,4.3,"59,763 Ratings & 4,997 Reviews"
5,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹7,999","₹9,999",,4.4,"1,42,218 Ratings & 8,172 Reviews"
6,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹13,499","₹23,999","Upto ₹12,980 Off on Exchange",4.1,"43,190 Ratings & 4,406 Reviews"
7,IAIR D41,"₹1,319","₹1,319",Bank Offer,3.7,18 Ratings & 6 Reviews
8,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹13,499","₹23,999","Upto ₹12,980 Off on Exchange",4.1,"43,190 Ratings & 4,406 Reviews"
9,"REDMI 9i Sport (Coral Green, 64 GB)","₹7,999","₹9,999","Upto ₹7,460 Off on Exchange",4.4,"1,42,218 Ratings & 8,172 Reviews"
10,"OPPO K10 (Black Carbon, 128 GB)","₹13,490","₹18,999","Upto ₹12,980 Off on Exchange",4.4,"54,232 Ratings & 4,326 Reviews"
11,IAIR D10,"₹1,072","₹1,072",Bank Offer,4,35 Ratings & 19 Reviews
12,"OPPO K10 (Blue Flame, 128 GB)","₹13,490","₹18,999","Upto ₹12,980 Off on Exchange",4.4,"54,232 Ratings & 4,326 Reviews"
13,"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹6,199","₹8,999",,4.6,665 Ratings & 22 Reviews
14,"realme C33 (Aqua Blue, 64 GB)","₹9,999","₹12,999",,4.7,939 Ratings & 31 Reviews
15,IAIR D24,"₹1,128","₹1,128",Bank Offer,3.8,75 Ratings & 25 Reviews
16,"realme C33 (Sandy Gold, 64 GB)","₹9,999","₹12,999",,4.7,939 Ratings & 31 Reviews
17,"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,999","₹9,999","Upto ₹7,460 Off on Exchange",4.4,"1,42,218 Ratings & 8,172 Reviews"
18,"realme C33 (Sandy Gold, 32 GB)","₹8,999","₹11,999",,4.6,199 Ratings & 8 Reviews
19,IAIR D23,"₹1,097","₹1,099",Bank Offer,4.1,29 Ratings & 7 Reviews
20,"realme C33 (Night Sea, 64 GB)","₹9,999","₹12,999",,4.7,939 Ratings & 31 Reviews
21,"realme C31 (Light Silver, 32 GB)","₹8,299","₹10,999","Upto ₹7,760 Off on Exchange",4.6,"33,872 Ratings & 1,244 Reviews"
22,"realme C31 (Dark Green, 32 GB)","₹8,299","₹10,999","Upto ₹7,760 Off on Exchange",4.6,"33,872 Ratings & 1,244 Reviews"
23,"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹6,199","₹8,999",,4.6,665 Ratings & 22 Reviews
